A Matrix
DT->an nan
PRP->an nan
RB->an nan
CC->an nan
NP->investigation 3.93145719716e-49
NN->investigation 4.61551679552e-71
JJ->investigation 1.56602748701e-29
IN->investigation 4.43262608187e-13
VB->investigation 5.38440414783e-86
TO->investigation 1.8171970293e-103
DT->investigation 2.61668604024e-07
PRP->investigation 0.277281175226
RB->investigation 2.17331060785e-63
CC->investigation 1.93766718636e-66
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->atlantas nan
NN->atlantas nan
JJ->atlantas nan
IN->atlantas nan
VB->atlantas nan
TO->atlantas nan
DT->atlantas nan
PRP->atlantas nan
RB->atlantas nan
CC->atlantas nan
NP->recent 2.71843376538e-93
NN->recent 6.23961193799e-76
JJ->recent 1.80336500857e-11
IN->recent 4.29182736843e-89
VB->recent 0.0250094799222
TO->recent 2.96948350012e-41
DT->recent 4.27277153225e-88
PRP->recent 2.25303972545e-61
RB->recent 3.24780406068e-124
CC->recent 6.84643326839e-09
NP->primary nan
NN->primary nan
JJ->primary nan
IN->primary nan
VB->primary nan
TO->primary nan
DT->primary nan
PRP->primary nan
RB->primary nan
CC->primary nan
NP->election nan
NN->election nan
JJ->election nan
IN->election nan
VB->election nan
TO->election nan
DT->election nan
PRP->election nan
RB->election nan
CC->election nan
NP->produced 0.801394928731
NN->produced 2.33630989257e-92
JJ->produced 3.0612765247e-93
IN->produced 3.43740253294e-27
VB->produced 6.51029882831e-107
TO->produced 1.70805468255e-130
DT->produced 1.85742659984e-86
PRP->produced 7.99464173512e-39
RB->produced 9.91038426125e-81
CC->produced 3.38728212903e-81
NP->no 1.35744295237e-26
NN->no 6.52798890529e-77
JJ->no 1.70080452018e-84
IN->no 0.488122020866
VB->no 7.57140637672e-101
TO->no 1.48647669227e-59
DT->no 2.00639136772e-73
PRP->no 3.15140315039e-10
RB->no 1.11181755385e-62
CC->no 4.28827258258e-73
NP->evidence 3.0118225155e-05
NN->evidence 2.21480316739e-77
JJ->evidence 2.11158928671e-43
IN->evidence 1.60995064984e-05
VB->evidence 5.89472891148e-74
TO->evidence 1.69047221824e-78
DT->evidence 1.31496242465e-33
PRP->evidence 0.603661389687
RB->evidence 9.43107539084e-14
CC->evidence 2.33583951612e-62
NP->that nan
NN->that nan
JJ->that nan
IN->that nan
VB->that nan
TO->that nan
DT->that nan
PRP->that nan
RB->that nan
CC->that nan
NP->any 1.19722647594e-14
NN->any 3.77290357894e-82
JJ->any 1.17960041884e-39
IN->any 0.000283544187842
VB->any 3.2060702783e-78
TO->any 1.517074935e-91
DT->any 2.63817756203e-08
PRP->any 0.0946150731407
RB->any 2.33006991044e-40
CC->any 1.72207906726e-68
NP->irregularities nan
NN->irregularities nan
JJ->irregularities nan
IN->irregularities nan
VB->irregularities nan
TO->irregularities nan
DT->irregularities nan
PRP->irregularities nan
RB->irregularities nan
CC->irregularities nan
NP->took nan
NN->took nan
JJ->took nan
IN->took nan
VB->took nan
TO->took nan
DT->took nan
PRP->took nan
RB->took nan
CC->took nan
NP->place nan
NN->place nan
JJ->place nan
IN->place nan
VB->place nan
TO->place nan
DT->place nan
PRP->place nan
RB->place nan
CC->place nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->jury nan
NN->jury nan
JJ->jury nan
IN->jury nan
VB->jury nan
TO->jury nan
DT->jury nan
PRP->jury nan
RB->jury nan
CC->jury nan
NP->further nan
NN->further nan
JJ->further nan
IN->further nan
VB->further nan
TO->further nan
DT->further nan
PRP->further nan
RB->further nan
CC->further nan
NP->said nan
NN->said nan
JJ->said nan
IN->said nan
VB->said nan
TO->said nan
DT->said nan
PRP->said nan
RB->said nan
CC->said nan
NP->in nan
NN->in nan
JJ->in nan
IN->in nan
VB->in nan
TO->in nan
DT->in nan
PRP->in nan
RB->in nan
CC->in nan
NP->termend nan
NN->termend nan
JJ->termend nan
IN->termend nan
VB->termend nan
TO->termend nan
DT->termend nan
PRP->termend nan
RB->termend nan
CC->termend nan
NP->presentments nan
NN->presentments nan
JJ->presentments nan
IN->presentments nan
VB->presentments nan
TO->presentments nan
DT->presentments nan
PRP->presentments nan
RB->presentments nan
CC->presentments nan
NP->that nan
NN->that nan
JJ->that nan
IN->that nan
VB->that nan
TO->that nan
DT->that nan
PRP->that nan
RB->that nan
CC->that nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->city nan
NN->city nan
JJ->city nan
IN->city nan
VB->city nan
TO->city nan
DT->city nan
PRP->city nan
RB->city nan
CC->city nan
NP->executive nan
NN->executive nan
JJ->executive nan
IN->executive nan
VB->executive nan
TO->executive nan
DT->executive nan
PRP->executive nan
RB->executive nan
CC->executive nan
NP->committee nan
NN->committee nan
JJ->committee nan
IN->committee nan
VB->committee nan
TO->committee nan
DT->committee nan
PRP->committee nan
RB->committee nan
CC->committee nan
NP->which nan
NN->which nan
JJ->which nan
IN->which nan
VB->which nan
TO->which nan
DT->which nan
PRP->which nan
RB->which nan
CC->which nan
NP->had nan
NN->had nan
JJ->had nan
IN->had nan
VB->had nan
TO->had nan
DT->had nan
PRP->had nan
RB->had nan
CC->had nan
NP->overall nan
NN->overall nan
JJ->overall nan
IN->overall nan
VB->overall nan
TO->overall nan
DT->overall nan
PRP->overall nan
RB->overall nan
CC->overall nan
NP->charge nan
NN->charge nan
JJ->charge nan
IN->charge nan
VB->charge nan
TO->charge nan
DT->charge nan
PRP->charge nan
RB->charge nan
CC->charge nan
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->election nan
NN->election nan
JJ->election nan
IN->election nan
VB->election nan
TO->election nan
DT->election nan
PRP->election nan
RB->election nan
CC->election nan
NP->deserves nan
NN->deserves nan
JJ->deserves nan
IN->deserves nan
VB->deserves nan
TO->deserves nan
DT->deserves nan
PRP->deserves nan
RB->deserves nan
CC->deserves nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->praise nan
NN->praise nan
JJ->praise nan
IN->praise nan
VB->praise nan
TO->praise nan
DT->praise nan
PRP->praise nan
RB->praise nan
CC->praise nan
NP->and nan
NN->and nan
JJ->and nan
IN->and nan
VB->and nan
TO->and nan
DT->and nan
PRP->and nan
RB->and nan
CC->and nan
NP->thanks nan
NN->thanks nan
JJ->thanks nan
IN->thanks nan
VB->thanks nan
TO->thanks nan
DT->thanks nan
PRP->thanks nan
RB->thanks nan
CC->thanks nan
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->city nan
NN->city nan
JJ->city nan
IN->city nan
VB->city nan
TO->city nan
DT->city nan
PRP->city nan
RB->city nan
CC->city nan
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->atlanta nan
NN->atlanta nan
JJ->atlanta nan
IN->atlanta nan
VB->atlanta nan
TO->atlanta nan
DT->atlanta nan
PRP->atlanta nan
RB->atlanta nan
CC->atlanta nan
NP->for nan
NN->for nan
JJ->for nan
IN->for nan
VB->for nan
TO->for nan
DT->for nan
PRP->for nan
RB->for nan
CC->for nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->manner nan
NN->manner nan
JJ->manner nan
IN->manner nan
VB->manner nan
TO->manner nan
DT->manner nan
PRP->manner nan
RB->manner nan
CC->manner nan
NP->in nan
NN->in nan
JJ->in nan
IN->in nan
VB->in nan
TO->in nan
DT->in nan
PRP->in nan
RB->in nan
CC->in nan
NP->which nan
NN->which nan
JJ->which nan
IN->which nan
VB->which nan
TO->which nan
DT->which nan
PRP->which nan
RB->which nan
CC->which nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->election nan
NN->election nan
JJ->election nan
IN->election nan
VB->election nan
TO->election nan
DT->election nan
PRP->election nan
RB->election nan
CC->election nan
NP->was nan
NN->was nan
JJ->was nan
IN->was nan
VB->was nan
TO->was nan
DT->was nan
PRP->was nan
RB->was nan
CC->was nan
NP->conducted nan
NN->conducted nan
JJ->conducted nan
IN->conducted nan
VB->conducted nan
TO->conducted nan
DT->conducted nan
PRP->conducted nan
RB->conducted nan
CC->conducted nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->septemberoctober nan
NN->septemberoctober nan
JJ->septemberoctober nan
IN->septemberoctober nan
VB->septemberoctober nan
TO->septemberoctober nan
DT->septemberoctober nan
PRP->septemberoctober nan
RB->septemberoctober nan
CC->septemberoctober nan
NP->term nan
NN->term nan
JJ->term nan
IN->term nan
VB->term nan
TO->term nan
DT->term nan
PRP->term nan
RB->term nan
CC->term nan
NP->jury nan
NN->jury nan
JJ->jury nan
IN->jury nan
VB->jury nan
TO->jury nan
DT->jury nan
PRP->jury nan
RB->jury nan
CC->jury nan
NP->had nan
NN->had nan
JJ->had nan
IN->had nan
VB->had nan
TO->had nan
DT->had nan
PRP->had nan
RB->had nan
CC->had nan
NP->been nan
NN->been nan
JJ->been nan
IN->been nan
VB->been nan
TO->been nan
DT->been nan
PRP->been nan
RB->been nan
CC->been nan
NP->charged nan
NN->charged nan
JJ->charged nan
IN->charged nan
VB->charged nan
TO->charged nan
DT->charged nan
PRP->charged nan
RB->charged nan
CC->charged nan
NP->by nan
NN->by nan
JJ->by nan
IN->by nan
VB->by nan
TO->by nan
DT->by nan
PRP->by nan
RB->by nan
CC->by nan
NP->fulton nan
NN->fulton nan
JJ->fulton nan
IN->fulton nan
VB->fulton nan
TO->fulton nan
DT->fulton nan
PRP->fulton nan
RB->fulton nan
CC->fulton nan
NP->superior nan
NN->superior nan
JJ->superior nan
IN->superior nan
VB->superior nan
TO->superior nan
DT->superior nan
PRP->superior nan
RB->superior nan
CC->superior nan
NP->court nan
NN->court nan
JJ->court nan
IN->court nan
VB->court nan
TO->court nan
DT->court nan
PRP->court nan
RB->court nan
CC->court nan
NP->judge nan
NN->judge nan
JJ->judge nan
IN->judge nan
VB->judge nan
TO->judge nan
DT->judge nan
PRP->judge nan
RB->judge nan
CC->judge nan
NP->durwood nan
NN->durwood nan
JJ->durwood nan
IN->durwood nan
VB->durwood nan
TO->durwood nan
DT->durwood nan
PRP->durwood nan
RB->durwood nan
CC->durwood nan
NP->pye nan
NN->pye nan
JJ->pye nan
IN->pye nan
VB->pye nan
TO->pye nan
DT->pye nan
PRP->pye nan
RB->pye nan
CC->pye nan
NP->to nan
NN->to nan
JJ->to nan
IN->to nan
VB->to nan
TO->to nan
DT->to nan
PRP->to nan
RB->to nan
CC->to nan
NP->investigate nan
NN->investigate nan
JJ->investigate nan
IN->investigate nan
VB->investigate nan
TO->investigate nan
DT->investigate nan
PRP->investigate nan
RB->investigate nan
CC->investigate nan
NP->reports nan
NN->reports nan
JJ->reports nan
IN->reports nan
VB->reports nan
TO->reports nan
DT->reports nan
PRP->reports nan
RB->reports nan
CC->reports nan
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->possible nan
NN->possible nan
JJ->possible nan
IN->possible nan
VB->possible nan
TO->possible nan
DT->possible nan
PRP->possible nan
RB->possible nan
CC->possible nan
NP->irregularities nan
NN->irregularities nan
JJ->irregularities nan
IN->irregularities nan
VB->irregularities nan
TO->irregularities nan
DT->irregularities nan
PRP->irregularities nan
RB->irregularities nan
CC->irregularities nan
NP->in nan
NN->in nan
JJ->in nan
IN->in nan
VB->in nan
TO->in nan
DT->in nan
PRP->in nan
RB->in nan
CC->in nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->hardfought nan
NN->hardfought nan
JJ->hardfought nan
IN->hardfought nan
VB->hardfought nan
TO->hardfought nan
DT->hardfought nan
PRP->hardfought nan
RB->hardfought nan
CC->hardfought nan
NP->primary nan
NN->primary nan
JJ->primary nan
IN->primary nan
VB->primary nan
TO->primary nan
DT->primary nan
PRP->primary nan
RB->primary nan
CC->primary nan
NP->which nan
NN->which nan
JJ->which nan
IN->which nan
VB->which nan
TO->which nan
DT->which nan
PRP->which nan
RB->which nan
CC->which nan
NP->was nan
NN->was nan
JJ->was nan
IN->was nan
VB->was nan
TO->was nan
DT->was nan
PRP->was nan
RB->was nan
CC->was nan
NP->won nan
NN->won nan
JJ->won nan
IN->won nan
VB->won nan
TO->won nan
DT->won nan
PRP->won nan
RB->won nan
CC->won nan
NP->by nan
NN->by nan
JJ->by nan
IN->by nan
VB->by nan
TO->by nan
DT->by nan
PRP->by nan
RB->by nan
CC->by nan
NP->mayornominate nan
NN->mayornominate nan
JJ->mayornominate nan
IN->mayornominate nan
VB->mayornominate nan
TO->mayornominate nan
DT->mayornominate nan
PRP->mayornominate nan
RB->mayornominate nan
CC->mayornominate nan
NP->ivan nan
NN->ivan nan
JJ->ivan nan
IN->ivan nan
VB->ivan nan
TO->ivan nan
DT->ivan nan
PRP->ivan nan
RB->ivan nan
CC->ivan nan
NP->allen nan
NN->allen nan
JJ->allen nan
IN->allen nan
VB->allen nan
TO->allen nan
DT->allen nan
PRP->allen nan
RB->allen nan
CC->allen nan
NP->jr nan
NN->jr nan
JJ->jr nan
IN->jr nan
VB->jr nan
TO->jr nan
DT->jr nan
PRP->jr nan
RB->jr nan
CC->jr nan
NP->only nan
NN->only nan
JJ->only nan
IN->only nan
VB->only nan
TO->only nan
DT->only nan
PRP->only nan
RB->only nan
CC->only nan
NP->a nan
NN->a nan
JJ->a nan
IN->a nan
VB->a nan
TO->a nan
DT->a nan
PRP->a nan
RB->a nan
CC->a nan
NP->relative nan
NN->relative nan
JJ->relative nan
IN->relative nan
VB->relative nan
TO->relative nan
DT->relative nan
PRP->relative nan
RB->relative nan
CC->relative nan
NP->handful nan
NN->handful nan
JJ->handful nan
IN->handful nan
VB->handful nan
TO->handful nan
DT->handful nan
PRP->handful nan
RB->handful nan
CC->handful nan
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->such nan
NN->such nan
JJ->such nan
IN->such nan
VB->such nan
TO->such nan
DT->such nan
PRP->such nan
RB->such nan
CC->such nan
NP->reports nan
NN->reports nan
JJ->reports nan
IN->reports nan
VB->reports nan
TO->reports nan
DT->reports nan
PRP->reports nan
RB->reports nan
CC->reports nan
NP->was nan
NN->was nan
JJ->was nan
IN->was nan
VB->was nan
TO->was nan
DT->was nan
PRP->was nan
RB->was nan
CC->was nan
NP->received nan
NN->received nan
JJ->received nan
IN->received nan
VB->received nan
TO->received nan
DT->received nan
PRP->received nan
RB->received nan
CC->received nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->jury nan
NN->jury nan
JJ->jury nan
IN->jury nan
VB->jury nan
TO->jury nan
DT->jury nan
PRP->jury nan
RB->jury nan
CC->jury nan
NP->said nan
NN->said nan
JJ->said nan
IN->said nan
VB->said nan
TO->said nan
DT->said nan
PRP->said nan
RB->said nan
CC->said nan
NP->considering nan
NN->considering nan
JJ->considering nan
IN->considering nan
VB->considering nan
TO->considering nan
DT->considering nan
PRP->considering nan
RB->considering nan
CC->considering nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->widespread nan
NN->widespread nan
JJ->widespread nan
IN->widespread nan
VB->widespread nan
TO->widespread nan
DT->widespread nan
PRP->widespread nan
RB->widespread nan
CC->widespread nan
NP->interest nan
NN->interest nan
JJ->interest nan
IN->interest nan
VB->interest nan
TO->interest nan
DT->interest nan
PRP->interest nan
RB->interest nan
CC->interest nan
NP->in nan
NN->in nan
JJ->in nan
IN->in nan
VB->in nan
TO->in nan
DT->in nan
PRP->in nan
RB->in nan
CC->in nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->election nan
NN->election nan
JJ->election nan
IN->election nan
VB->election nan
TO->election nan
DT->election nan
PRP->election nan
RB->election nan
CC->election nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->number nan
NN->number nan
JJ->number nan
IN->number nan
VB->number nan
TO->number nan
DT->number nan
PRP->number nan
RB->number nan
CC->number nan
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->voters nan
NN->voters nan
JJ->voters nan
IN->voters nan
VB->voters nan
TO->voters nan
DT->voters nan
PRP->voters nan
RB->voters nan
CC->voters nan
NP->and nan
NN->and nan
JJ->and nan
IN->and nan
VB->and nan
TO->and nan
DT->and nan
PRP->and nan
RB->and nan
CC->and nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->size nan
NN->size nan
JJ->size nan
IN->size nan
VB->size nan
TO->size nan
DT->size nan
PRP->size nan
RB->size nan
CC->size nan
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->this nan
NN->this nan
JJ->this nan
IN->this nan
VB->this nan
TO->this nan
DT->this nan
PRP->this nan
RB->this nan
CC->this nan
NP->city nan
NN->city nan
JJ->city nan
IN->city nan
VB->city nan
TO->city nan
DT->city nan
PRP->city nan
RB->city nan
CC->city nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->jury nan
NN->jury nan
JJ->jury nan
IN->jury nan
VB->jury nan
TO->jury nan
DT->jury nan
PRP->jury nan
RB->jury nan
CC->jury nan
NP->said nan
NN->said nan
JJ->said nan
IN->said nan
VB->said nan
TO->said nan
DT->said nan
PRP->said nan
RB->said nan
CC->said nan
NP->it nan
NN->it nan
JJ->it nan
IN->it nan
VB->it nan
TO->it nan
DT->it nan
PRP->it nan
RB->it nan
CC->it nan
NP->did nan
NN->did nan
JJ->did nan
IN->did nan
VB->did nan
TO->did nan
DT->did nan
PRP->did nan
RB->did nan
CC->did nan
NP->find nan
NN->find nan
JJ->find nan
IN->find nan
VB->find nan
TO->find nan
DT->find nan
PRP->find nan
RB->find nan
CC->find nan
NP->that nan
NN->that nan
JJ->that nan
IN->that nan
VB->that nan
TO->that nan
DT->that nan
PRP->that nan
RB->that nan
CC->that nan
NP->many nan
NN->many nan
JJ->many nan
IN->many nan
VB->many nan
TO->many nan
DT->many nan
PRP->many nan
RB->many nan
CC->many nan
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->georgias nan
NN->georgias nan
JJ->georgias nan
IN->georgias nan
VB->georgias nan
TO->georgias nan
DT->georgias nan
PRP->georgias nan
RB->georgias nan
CC->georgias nan
NP->registration nan
NN->registration nan
JJ->registration nan
IN->registration nan
VB->registration nan
TO->registration nan
DT->registration nan
PRP->registration nan
RB->registration nan
CC->registration nan
NP->and nan
NN->and nan
JJ->and nan
IN->and nan
VB->and nan
TO->and nan
DT->and nan
PRP->and nan
RB->and nan
CC->and nan
NP->election nan
NN->election nan
JJ->election nan
IN->election nan
VB->election nan
TO->election nan
DT->election nan
PRP->election nan
RB->election nan
CC->election nan
NP->laws nan
NN->laws nan
JJ->laws nan
IN->laws nan
VB->laws nan
TO->laws nan
DT->laws nan
PRP->laws nan
RB->laws nan
CC->laws nan
NP->are nan
NN->are nan
JJ->are nan
IN->are nan
VB->are nan
TO->are nan
DT->are nan
PRP->are nan
RB->are nan
CC->are nan
NP->outmoded nan
NN->outmoded nan
JJ->outmoded nan
IN->outmoded nan
VB->outmoded nan
TO->outmoded nan
DT->outmoded nan
PRP->outmoded nan
RB->outmoded nan
CC->outmoded nan
NP->or nan
NN->or nan
JJ->or nan
IN->or nan
VB->or nan
TO->or nan
DT->or nan
PRP->or nan
RB->or nan
CC->or nan
NP->inadequate nan
NN->inadequate nan
JJ->inadequate nan
IN->inadequate nan
VB->inadequate nan
TO->inadequate nan
DT->inadequate nan
PRP->inadequate nan
RB->inadequate nan
CC->inadequate nan
NP->and nan
NN->and nan
JJ->and nan
IN->and nan
VB->and nan
TO->and nan
DT->and nan
PRP->and nan
RB->and nan
CC->and nan
NP->often nan
NN->often nan
JJ->often nan
IN->often nan
VB->often nan
TO->often nan
DT->often nan
PRP->often nan
RB->often nan
CC->often nan
NP->ambiguous nan
NN->ambiguous nan
JJ->ambiguous nan
IN->ambiguous nan
VB->ambiguous nan
TO->ambiguous nan
DT->ambiguous nan
PRP->ambiguous nan
RB->ambiguous nan
CC->ambiguous nan
NP->it nan
NN->it nan
JJ->it nan
IN->it nan
VB->it nan
TO->it nan
DT->it nan
PRP->it nan
RB->it nan
CC->it nan
NP->recommended nan
NN->recommended nan
JJ->recommended nan
IN->recommended nan
VB->recommended nan
TO->recommended nan
DT->recommended nan
PRP->recommended nan
RB->recommended nan
CC->recommended nan
NP->that nan
NN->that nan
JJ->that nan
IN->that nan
VB->that nan
TO->that nan
DT->that nan
PRP->that nan
RB->that nan
CC->that nan
NP->fulton nan
NN->fulton nan
JJ->fulton nan
IN->fulton nan
VB->fulton nan
TO->fulton nan
DT->fulton nan
PRP->fulton nan
RB->fulton nan
CC->fulton nan
NP->legislators nan
NN->legislators nan
JJ->legislators nan
IN->legislators nan
VB->legislators nan
TO->legislators nan
DT->legislators nan
PRP->legislators nan
RB->legislators nan
CC->legislators nan
NP->act nan
NN->act nan
JJ->act nan
IN->act nan
VB->act nan
TO->act nan
DT->act nan
PRP->act nan
RB->act nan
CC->act nan
NP->to nan
NN->to nan
JJ->to nan
IN->to nan
VB->to nan
TO->to nan
DT->to nan
PRP->to nan
RB->to nan
CC->to nan
NP->have nan
NN->have nan
JJ->have nan
IN->have nan
VB->have nan
TO->have nan
DT->have nan
PRP->have nan
RB->have nan
CC->have nan
NP->these nan
NN->these nan
JJ->these nan
IN->these nan
VB->these nan
TO->these nan
DT->these nan
PRP->these nan
RB->these nan
CC->these nan
NP->laws nan
NN->laws nan
JJ->laws nan
IN->laws nan
VB->laws nan
TO->laws nan
DT->laws nan
PRP->laws nan
RB->laws nan
CC->laws nan
NP->studied nan
NN->studied nan
JJ->studied nan
IN->studied nan
VB->studied nan
TO->studied nan
DT->studied nan
PRP->studied nan
RB->studied nan
CC->studied nan
NP->and nan
NN->and nan
JJ->and nan
IN->and nan
VB->and nan
TO->and nan
DT->and nan
PRP->and nan
RB->and nan
CC->and nan
NP->revised nan
NN->revised nan
JJ->revised nan
IN->revised nan
VB->revised nan
TO->revised nan
DT->revised nan
PRP->revised nan
RB->revised nan
CC->revised nan
NP->to nan
NN->to nan
JJ->to nan
IN->to nan
VB->to nan
TO->to nan
DT->to nan
PRP->to nan
RB->to nan
CC->to nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->end nan
NN->end nan
JJ->end nan
IN->end nan
VB->end nan
TO->end nan
DT->end nan
PRP->end nan
RB->end nan
CC->end nan
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->modernizing nan
NN->modernizing nan
JJ->modernizing nan
IN->modernizing nan
VB->modernizing nan
TO->modernizing nan
DT->modernizing nan
PRP->modernizing nan
RB->modernizing nan
CC->modernizing nan
NP->and nan
NN->and nan
JJ->and nan
